optimal distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80
46,8,14,0,2,7,3,10,13,5,9,11,1,12,15,4,6,1,2,1,2,0,0,2,1,3,0,0,2,1,3,3,1,1,3,0,2,2,0,3,3,1,2,2,2,0,3,3,0,2,1,3,1,1,2,0,2,1,3,0,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,9,14,12,10,3,8,1,4,6,5,13,15,0,11,7,2,2,0,2,0,3,0,3,1,1,2,0,0,3,1,1,1,3,0,0,2,0,3,1,2,1,2,2,1,3,3,0,2,2,1,3,3,3,0,2,2,0,2,0,3,3,1,2,2,0,3,3,1,2,2,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,
57,13,6,0,5,14,2,8,11,12,9,7,10,15,4,1,3,1,2,0,2,1,1,3,3,1,2,2,0,3,3,1,2,2,0,3,3,0,2,0,3,1,2,2,2,1,1,3,0,0,0,2,1,1,1,3,0,0,0,3,1,2,2,1,3,1,3,0,3,0,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,
53,12,13,0,10,8,5,1,6,2,15,14,9,3,11,4,7,1,3,0,0,2,1,3,0,2,2,2,1,1,3,3,0,0,2,2,1,3,3,3,0,2,2,1,1,3,0,0,2,1,2,1,3,3,1,2,2,0,3,1,3,3,0,0,2,1,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9,5,12,14,7,6,13,10,0,3,8,2,1,4,15,11,2,0,2,1,1,3,0,2,2,1,3,3,0,2,0,0,3,3,1,1,2,2,2,0,0,3,3,3,1,1,2,2,0,0,3,3,1,1,2,2,0,2,1,3,3,0,2,2,1,1,3,0,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
51,10,0,6,4,15,13,3,2,14,8,11,9,7,1,12,5,2,1,1,1,3,3,0,2,0,3,3,1,1,2,0,0,0,3,1,2,0,2,1,1,3,0,2,1,2,0,3,1,1,3,0,3,0,2,0,2,1,1,3,0,2,1,2,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3,6,14,12,8,2,5,15,7,10,4,9,1,13,11,0,0,0,2,0,3,3,3,1,1,1,2,2,2,0,0,3,1,1,2,0,0,3,1,3,3,0,2,2,0,3,1,1,2,0,3,1,1,2,0,2,0,3,0,2,1,3,3,1,3,1,2,0,3,0,0,2,2,1,3,1,3,1,,,,,,,,,,,,,,,,,,
56,6,2,7,1,11,4,5,0,3,8,15,13,14,10,12,9,2,1,2,0,0,3,0,2,1,1,3,0,3,0,2,1,3,1,2,0,2,1,3,1,2,0,3,0,3,3,1,1,2,0,0,0,3,1,1,1,2,0,0,0,2,2,1,1,3,3,0,3,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,
53,10,14,8,3,11,5,12,4,2,15,0,7,9,1,13,6,1,2,0,2,1,3,0,3,1,2,0,0,3,1,2,0,2,1,3,1,1,3,0,0,3,1,1,2,0,2,2,0,3,3,1,3,0,0,2,2,2,1,3,3,0,2,1,1,3,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,9,7,6,3,13,14,11,8,1,12,5,15,4,2,10,2,1,3,1,2,2,0,0,3,1,3,1,2,2,1,2,0,0,3,3,1,2,2,0,3,0,3,3,1,1,2,1,3,0,0,2,1,2,1,2,0,0,3,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,13,15,11,2,10,6,12,8,4,3,7,1,5,14,9,0,3,1,1,3,3,0,2,0,2,1,1,3,0,0,0,2,1,1,1,3,3,0,0,0,2,2,1,1,2,0,3,0,2,1,3,3,3,0,2,2,1,3,1,1,3,0,0,2,0,3,1,2,1,2,2,1,3,3,0,3,1,,,,,,,,,,,,,,,,,,,
53,3,13,11,0,1,12,15,14,8,2,4,10,5,6,7,9,0,2,0,3,1,3,1,3,1,2,2,2,0,0,3,1,1,2,0,0,3,1,3,3,0,0,2,2,1,2,0,3,1,3,3,0,2,2,1,3,3,0,2,1,1,3,1,2,2,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4,12,3,0,1,10,8,2,6,5,13,7,11,15,14,9,2,2,2,0,3,1,1,1,2,0,3,1,3,0,0,0,2,1,1,3,3,0,0,2,2,1,2,0,3,1,3,3,1,1,2,0,0,3,1,1,2,0,2,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,14,1,8,9,10,12,4,7,15,0,3,5,13,6,11,1,2,0,3,0,2,1,3,1,2,0,2,1,1,3,3,0,3,0,0,2,1,2,2,1,1,3,0,0,2,0,3,1,1,2,0,3,1,3,0,3,0,2,2,1,3,3,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,13,14,6,15,4,7,0,8,9,11,10,3,12,5,1,2,0,3,0,2,1,3,1,3,0,0,2,1,2,1,3,3,0,3,1,2,2,0,3,3,0,2,0,2,2,1,1,3,3,0,2,0,3,1,2,2,1,3,3,3,0,2,1,2,0,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,4,15,12,6,5,10,3,8,11,1,0,14,9,13,7,1,3,0,2,0,3,0,3,3,1,2,1,2,0,3,1,1,2,0,3,3,0,2,0,3,1,2,1,1,3,0,0,2,0,2,1,1,2,0,0,3,1,1,2,0,0,3,1,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,10,14,0,9,5,6,15,3,2,11,7,13,8,4,12,1,0,2,1,3,0,3,0,2,2,1,1,1,3,0,0,3,3,1,1,2,2,0,2,0,3,0,3,1,2,1,3,3,1,2,2,0,3,0,2,1,2,0,3,0,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,8,11,4,6,15,12,10,0,13,1,14,3,9,7,5,0,3,3,1,2,0,2,1,1,3,0,2,0,3,1,2,2,0,3,1,1,3,3,1,2,2,0,2,1,3,0,2,0,3,1,3,3,0,0,2,2,1,3,1,1,2,0,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,12,1,15,4,6,2,11,0,13,10,7,14,9,3,8,5,1,3,0,0,3,3,1,1,2,2,0,0,3,3,1,1,2,0,2,0,2,1,1,3,0,0,0,2,1,1,3,0,3,3,0,2,2,1,3,3,0,2,2,2,1,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,9,1,14,10,12,11,6,2,0,13,4,8,5,7,15,3,0,2,2,0,3,3,1,2,1,1,2,0,2,0,0,3,1,3,0,2,1,3,1,2,0,2,1,1,3,3,3,0,0,0,2,1,2,1,2,1,3,3,3,0,2,2,2,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5,13,15,11,8,10,2,9,14,12,7,4,0,3,6,1,3,3,1,3,0,0,2,0,3,1,2,1,1,2,0,3,3,1,2,2,2,0,3,3,1,2,0,0,0,3,1,2,2,0,3,3,1,2,2,1,1,3,0,3,3,1,2,2,0,3,3,0,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,
51,9,4,8,6,0,1,14,10,11,5,12,13,15,7,3,2,2,1,1,2,0,2,0,3,3,1,2,2,1,3,3,1,3,0,0,0,2,1,1,2,1,3,3,0,0,2,2,2,1,1,3,3,3,0,2,0,2,0,3,1,1,2,2,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,1,12,6,10,3,13,8,5,11,7,9,14,15,0,4,1,1,2,0,0,3,1,2,2,0,2,1,3,0,3,0,2,1,2,0,3,1,1,1,2,0,0,3,3,3,0,2,2,1,1,1,3,3,0,0,0,2,1,1,1,3,0,0,2,2,0,3,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,
57,14,6,9,2,3,10,4,11,13,7,12,1,15,0,8,5,1,1,2,0,2,0,2,1,1,3,0,0,3,3,1,1,2,1,2,0,3,3,1,2,0,0,2,0,3,3,1,2,2,2,1,3,0,2,0,3,1,2,1,1,3,3,0,3,0,2,1,2,0,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,
46,8,11,15,3,6,4,7,5,12,0,14,10,1,2,9,13,0,3,0,2,1,3,3,3,1,1,2,0,2,2,0,3,3,3,0,2,2,2,1,3,3,3,1,1,2,0,2,1,3,0,2,0,3,1,2,2,0,3,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,8,11,3,7,1,9,15,13,10,0,2,6,12,5,4,14,0,3,1,2,1,2,0,0,3,0,2,1,3,3,3,1,2,2,2,1,3,0,0,3,3,1,2,1,2,2,0,3,0,3,0,2,1,1,3,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,6,4,5,14,7,2,1,10,11,0,13,12,3,9,15,8,0,0,2,2,2,1,1,3,0,3,3,1,1,2,2,2,0,0,3,3,3,1,1,2,2,0,0,0,2,1,1,1,3,0,0,3,0,3,1,1,2,0,0,3,1,1,1,2,0,0,2,2,1,1,3,3,0,3,1,,,,,,,,,,,,,,,,,,,,,
53,12,10,8,7,3,11,2,6,0,15,5,9,4,1,14,13,0,2,2,1,1,3,0,3,0,2,2,1,3,3,1,1,3,0,2,1,2,0,0,3,3,0,2,2,2,1,1,3,0,3,3,1,2,1,2,2,0,0,3,3,0,2,1,1,3,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,11,9,2,1,15,7,10,14,6,12,13,0,4,5,3,8,1,1,1,3,0,3,1,2,0,2,1,2,0,3,1,3,0,0,2,0,2,1,1,3,0,0,2,1,1,1,3,0,0,3,3,1,2,2,0,0,3,1,2,0,3,3,1,1,1,2,0,2,0,0,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,
55,10,13,5,15,7,2,11,6,12,4,3,0,8,1,14,9,3,0,0,2,1,3,3,1,2,0,0,0,3,1,1,2,0,3,3,0,2,2,1,2,0,3,1,2,1,1,3,3,3,0,2,1,2,0,0,3,0,3,1,2,1,2,2,0,3,0,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,12,14,10,2,15,6,1,0,11,13,7,4,9,8,3,0,3,3,1,1,2,0,2,2,0,3,3,3,1,1,2,0,2,1,2,1,3,3,0,2,1,3,3,0,0,2,0,3,1,1,2,2,2,1,3,3,0,2,0,2,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2,6,14,5,4,13,3,11,7,0,15,9,1,12,8,10,0,2,0,3,3,1,2,2,0,3,1,1,1,2,0,2,1,3,0,0,3,1,3,0,2,1,1,2,0,2,0,0,3,1,1,2,0,0,3,3,1,3,1,1,2,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4,8,14,9,3,2,0,15,13,12,10,7,6,1,11,5,3,3,0,0,0,2,1,2,1,2,0,3,0,2,1,3,1,2,1,3,3,0,0,2,1,3,3,0,2,2,1,2,0,3,1,3,3,0,0,2,1,2,1,1,2,0,0,3,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6,11,2,8,5,10,15,3,12,1,9,13,14,7,4,0,3,3,0,0,2,1,1,2,2,0,0,3,3,1,1,1,3,0,0,2,2,1,2,1,3,3,3,0,2,2,2,0,3,1,1,3,0,0,2,1,2,0,0,3,1,2,0,3,3,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,3,4,5,1,2,0,9,8,13,11,12,15,10,6,14,2,1,2,1,2,0,0,3,1,1,1,2,0,0,0,3,1,1,3,1,2,0,2,0,3,3,1,1,2,0,0,2,1,3,3,3,0,2,0,3,1,2,2,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2,10,5,15,13,9,4,0,14,6,12,7,8,3,11,1,0,0,3,1,1,3,3,0,2,0,0,2,1,1,3,0,3,1,2,1,2,0,3,0,0,2,1,2,0,3,3,3,1,2,2,1,3,1,2,0,2,1,3,3,0,2,2,0,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,10,13,11,1,3,8,15,6,14,5,9,7,4,2,12,0,3,3,1,2,0,2,2,0,3,0,3,3,1,1,2,0,0,3,1,1,2,2,1,3,3,0,2,2,2,0,3,3,1,2,1,2,0,3,0,0,3,1,3,1,2,1,2,0,0,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
46,8,0,6,4,13,2,5,12,3,1,15,7,10,9,14,11,0,0,2,2,1,3,3,1,2,1,3,0,2,0,3,1,1,2,0,2,1,3,0,2,0,3,1,1,3,3,0,0,0,2,1,1,3,0,0,2,2,1,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,6,12,4,13,10,8,0,3,15,7,2,5,1,14,11,9,2,1,2,1,1,3,3,0,0,2,1,1,3,0,2,1,3,3,0,0,0,2,1,3,0,2,2,1,2,0,3,1,1,2,0,3,3,1,2,2,0,3,3,1,1,3,0,0,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6,8,5,1,10,11,14,12,7,0,3,13,15,4,2,9,1,1,1,2,0,2,1,3,0,2,0,3,0,2,1,3,1,2,0,2,0,3,3,1,3,0,2,2,1,2,1,1,3,0,0,3,3,1,1,2,0,2,0,3,0,2,1,2,1,3,3,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
47,3,6,9,1,10,11,0,7,2,8,12,5,15,4,13,14,1,2,1,2,0,0,3,3,1,2,1,2,2,1,3,3,0,2,0,3,1,2,2,0,0,3,1,1,2,0,0,3,3,3,1,1,2,2,1,2,0,0,3,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,12,8,15,5,6,13,9,3,7,0,11,4,1,14,10,2,1,3,3,0,0,2,1,3,1,3,0,0,2,0,3,1,1,2,0,0,2,1,1,1,3,0,0,0,2,2,1,3,1,3,0,0,2,2,1,1,3,1,3,3,0,0,0,2,2,1,2,1,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
48,2,9,1,3,5,12,13,15,6,4,10,14,11,0,8,7,2,0,0,0,3,3,1,3,0,2,1,2,1,3,3,0,2,2,0,3,3,1,2,1,1,3,0,2,2,0,2,1,1,3,0,0,2,0,3,3,1,2,2,1,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,15,11,8,2,5,13,12,1,14,9,3,6,7,0,10,4,3,1,1,1,3,0,0,3,0,2,1,2,2,1,3,0,0,3,1,1,2,1,3,0,3,0,0,2,1,2,1,3,3,1,2,0,3,0,2,1,2,0,2,0,3,1,3,0,2,1,2,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
53,13,7,12,0,4,6,5,1,9,15,8,10,3,14,2,11,0,3,1,2,0,2,1,3,1,2,0,2,1,1,3,0,0,2,1,1,3,0,3,0,2,0,2,1,3,0,3,1,1,3,0,0,2,1,2,1,3,3,0,2,2,2,1,3,0,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,14,8,10,4,2,6,9,12,7,1,11,13,3,15,0,5,0,2,1,3,1,1,2,0,0,3,1,1,2,0,2,1,3,0,2,0,0,2,1,3,3,1,2,2,1,3,0,2,0,3,0,3,1,2,0,2,1,3,1,3,0,3,0,2,1,3,1,2,0,0,2,1,1,3,1,2,0,0,3,1,1,3,,,,,,,,,,,,,,
49,0,13,11,3,8,2,15,10,6,14,5,4,1,9,7,12,3,1,2,0,2,0,3,0,3,3,1,2,0,2,1,3,1,3,1,2,0,2,2,0,3,3,3,1,2,2,1,3,3,0,2,0,0,3,1,1,2,0,0,2,1,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,6,14,12,10,13,0,11,1,3,8,15,2,5,7,9,4,2,1,3,0,0,0,2,1,2,1,3,0,2,0,3,1,3,1,3,1,2,0,2,0,3,3,1,2,0,3,0,2,2,1,2,1,3,1,2,0,3,3,1,2,0,0,3,3,0,2,2,1,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,
50,0,7,14,12,8,10,1,2,3,6,4,11,13,9,5,15,2,2,0,0,3,1,2,2,1,3,3,0,2,0,3,0,2,1,3,3,1,2,2,0,2,1,1,3,0,0,2,1,1,3,0,3,0,2,0,3,1,3,0,2,2,1,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,12,6,5,2,13,14,15,10,1,0,11,4,3,8,7,9,0,3,0,3,1,1,2,1,2,0,2,0,3,3,0,2,2,1,3,1,3,0,2,1,3,1,2,0,3,3,1,2,0,3,0,0,2,2,1,3,3,0,2,1,1,3,1,2,0,2,2,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
50,10,12,6,0,14,2,5,7,1,8,3,4,9,15,11,13,2,2,1,3,1,2,0,0,3,1,2,2,1,3,0,0,0,3,1,2,2,1,3,3,0,2,0,2,1,3,0,3,1,2,1,1,3,0,3,1,2,0,0,3,0,2,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,6,13,8,4,11,7,3,1,9,2,0,14,5,12,10,15,2,0,0,2,2,1,1,3,0,3,1,2,0,3,0,2,0,2,1,1,3,0,0,3,3,1,2,0,2,2,1,1,1,3,3,0,2,0,3,0,2,2,1,1,1,3,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,11,7,10,15,9,8,4,5,6,3,1,12,2,14,13,3,1,2,1,3,3,0,2,0,2,1,1,1,3,0,2,1,2,0,0,3,1,2,0,3,3,1,3,1,2,2,0,3,1,2,2,0,3,0,3,0,2,1,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,13,10,7,12,1,4,8,11,9,6,2,14,3,5,0,15,2,2,2,0,0,3,0,2,1,3,1,3,3,1,2,2,0,3,1,3,0,0,0,2,2,1,1,2,0,3,3,3,1,2,2,0,3,3,1,2,2,0,3,0,3,1,2,0,2,2,1,1,3,1,2,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,
52,10,2,15,7,11,12,0,5,3,1,13,14,9,8,4,6,0,3,3,3,1,2,0,0,2,1,2,0,3,1,1,3,0,0,2,1,1,3,0,3,1,1,2,0,3,0,0,2,1,2,2,1,3,1,2,0,0,0,3,3,1,2,1,3,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,9,11,14,5,13,4,7,1,6,15,10,2,3,12,0,8,0,2,1,1,2,1,3,3,0,2,0,3,3,0,2,1,3,1,1,2,0,0,3,1,1,2,0,2,0,3,3,0,2,2,1,2,0,3,3,1,2,2,1,1,3,3,0,0,2,2,1,1,3,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,
47,7,9,1,11,0,3,14,4,13,5,6,15,2,8,12,10,2,0,0,2,0,3,1,2,1,3,0,3,3,1,2,1,2,2,0,0,3,3,0,3,1,2,0,2,1,3,1,3,1,2,2,0,0,3,0,2,1,2,1,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,0,6,9,2,13,8,4,3,1,11,10,12,5,14,15,0,0,2,2,2,0,3,1,1,1,2,0,0,0,3,1,1,1,3,0,0,0,2,1,3,3,1,2,2,0,3,3,1,1,2,2,0,2,1,3,0,2,0,3,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10,15,14,6,7,11,5,12,8,4,1,3,13,0,9,2,3,1,2,0,3,3,3,0,2,1,2,0,3,1,1,2,1,3,0,2,2,1,3,0,0,2,0,3,1,3,1,3,1,2,2,0,0,2,1,3,3,3,0,2,2,1,3,0,2,2,1,3,0,0,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,
39,1,12,2,7,4,9,5,6,0,8,11,3,15,10,13,14,2,1,3,0,2,2,1,2,1,1,3,3,0,0,3,0,2,1,2,0,3,3,1,2,2,1,2,1,3,0,2,0,0,3,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,12,3,10,11,4,9,8,1,6,15,14,0,13,2,5,7,2,1,2,0,3,0,2,1,3,3,3,1,2,2,1,2,0,3,1,3,3,0,2,2,1,3,0,0,0,2,1,1,3,0,3,0,2,2,2,1,3,3,0,2,2,1,1,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,4,12,3,0,2,1,10,5,14,11,13,9,6,8,15,2,0,0,2,2,0,3,1,2,1,3,0,2,0,3,1,3,3,1,1,2,2,0,0,3,0,2,2,1,1,3,0,3,3,0,2,1,3,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,9,10,7,0,15,12,11,6,3,1,4,2,8,5,14,13,3,1,1,2,2,1,3,3,0,2,0,0,3,1,3,1,1,2,0,2,0,2,1,1,3,0,0,0,2,1,3,3,1,3,0,2,1,2,0,0,3,3,1,2,2,1,2,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,13,14,1,10,3,15,8,9,0,12,7,4,6,5,2,11,0,3,1,1,2,1,2,0,3,0,3,1,1,2,0,0,3,1,3,0,0,2,1,2,2,0,3,3,1,2,2,1,1,3,0,3,3,0,2,2,2,1,3,3,3,0,2,2,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,14,2,8,5,0,10,11,3,1,13,9,4,12,15,6,7,2,1,1,3,0,0,2,1,2,2,1,3,3,0,2,0,0,3,1,1,2,2,0,0,3,1,2,0,3,3,1,3,1,1,2,0,3,0,2,2,1,3,0,3,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4,7,9,3,8,5,1,15,14,6,13,0,11,2,12,10,0,0,3,1,3,0,0,2,1,1,3,0,0,2,1,2,1,1,3,3,0,0,0,2,2,1,2,1,3,1,2,0,3,0,2,1,1,3,0,3,0,2,0,2,1,1,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9,15,12,2,1,10,11,4,8,7,14,5,6,13,0,3,0,3,1,3,3,1,2,0,3,0,2,1,1,2,2,0,3,0,3,1,2,1,1,3,3,0,0,2,2,1,2,0,0,3,1,1,1,3,0,3,0,2,0,3,1,2,2,1,2,1,3,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
52,10,7,12,4,0,15,11,1,13,2,8,3,14,6,9,5,2,1,1,3,0,0,2,0,3,1,2,1,3,0,3,1,1,2,0,3,3,1,2,2,0,2,1,3,0,0,2,1,3,3,3,0,0,2,2,1,1,3,3,0,0,2,1,2,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
